"text"
"I am so angry right now, I can't believe they cancelled my favorite show!"
"My daughter just took her first steps today, I'm so happy and proud!"
"The food at this restaurant is absolutely disgusting, I feel sick."
"I'm really scared about my upcoming surgery next week."
"What a beautiful day, the sun is shining and birds are singing!"
"I miss my old friends, it makes me feel sad sometimes."
"Oh my god! I just won the lottery, I can't believe it! What a surprise!"
"I'm feeling quite neutral about the whole situation."
"The news today was really shocking and frightening."
"This is the best day ever, I got promoted at work!"
"I feel terrible about what happened yesterday, it's making me sad."
"Wow! They just announced a sequel to my favorite movie, I'm so excited!" 
